Month,Day,Temperature (°F)_max,Temperature (°F)_avg,Temperature (°F)_min,Dew Point (°F)_max,Dew Point (°F)_avg,Dew Point (°F)_min,Humidity (%)_max,Humidity (%)_avg,Humidity (%)_min,Wind Speed (mph)_max,Wind Speed (mph)_avg,Wind Speed (mph)_min,Pressure (in)_max,Pressure (in)_avg,Pressure (in)_min
Jan,1,54,49.5,45,48,44.9,41,94,84.4,72,6,1.0,0,29.4,28.7,0.0
Jan,2,52,48.3,45,48,44.5,41,93,85.8,81,2,0.2,0,29.4,29.3,29.3
Jan,3,50,46.9,45,45,42.4,39,87,83.4,76,0,0.0,0,29.4,29.3,29.3
Jan,4,52,47.0,43,48,43.2,41,94,86.3,76,2,0.2,0,29.4,29.3,29.3
Jan,5,52,46.3,41,45,42.0,37,93,84.6,76,0,0.0,0,29.4,29.3,29.3
Jan,6,48,46.2,45,46,45.1,43,100,95.7,87,0,0.0,0,29.4,29.4,29.3
Jan,7,52,46.2,41,46,43.5,41,100,90.1,76,2,0.2,0,29.4,29.4,29.4
Jan,8,52,45.8,41,43,41.1,39,93,83.8,67,5,0.8,0,29.4,29.4,29.3
Jan,9,48,45.5,43,45,41.8,39,93,86.6,81,0,0.0,0,29.4,29.4,29.4
Jan,10,54,46.1,41,45,41.3,37,93,83.7,67,5,0.6,0,29.4,29.4,29.3
Jan,11,54,47.4,43,46,43.0,41,93,85.3,76,2,0.1,0,29.4,29.3,29.3
Jan,12,57,47.0,41,45,42.9,41,100,86.2,59,0,0.0,0,29.4,29.3,29.3
Jan,13,57,47.9,43,45,43.4,41,93,84.2,59,6,0.3,0,29.4,29.3,29.2
Jan,14,55,46.3,41,45,42.3,39,100,86.6,63,2,0.0,0,29.4,29.3,29.3
Jan,15,55,46.5,41,45,42.2,37,93,85.0,67,5,0.1,0,29.3,29.3,29.2
Jan,16,52,46.2,41,45,42.0,39,100,85.1,71,5,0.4,0,29.3,29.2,29.2
Jan,17,59,47.6,39,52,44.0,39,100,88.1,59,0,0.0,0,29.3,29.2,29.2
Jan,18,59,48.2,39,48,44.2,39,100,87.6,59,3,0.2,0,29.3,28.7,0.0
Jan,19,57,47.4,41,48,44.8,41,100,91.6,63,6,1.7,0,29.4,29.3,29.3
Jan,20,55,46.8,41,45,42.4,41,100,85.2,58,6,0.4,0,29.4,29.3,29.3
Jan,21,48,45.8,45,45,42.4,41,93,86.9,81,7,1.1,0,29.4,29.3,29.3
Jan,22,52,46.7,43,45,41.4,39,87,81.8,67,7,1.5,0,29.4,29.3,29.3
Jan,23,54,47.0,41,41,40.0,37,87,77.8,62,7,2.5,0,29.4,29.3,29.3
Jan,24,52,45.5,41,45,41.6,39,100,86.7,71,12,0.9,0,29.4,29.3,29.3
Jan,25,54,46.2,41,45,41.7,39,93,84.6,67,3,0.1,0,29.4,29.4,29.4
Jan,26,64,51.5,41,45,41.9,39,93,71.6,45,12,3.0,0,29.5,29.4,29.4
Jan,27,68,57.1,43,48,44.9,41,93,66.9,40,12,3.9,0,29.4,29.3,29.3
Jan,28,68,58.3,48,50,48.1,43,88,70.1,52,8,2.9,0,29.3,29.3,29.2
Jan,29,66,56.8,50,52,48.5,46,100,76.1,49,12,2.3,0,29.4,29.3,29.3
Jan,30,68,56.8,0,50,46.1,0,94,67.9,0,14,4.2,0,29.3,28.7,0.0
Jan,31,61,56.8,52,54,50.8,48,88,80.3,77,12,5.8,0,29.3,29.2,29.2
