Month,Day,Temperature (°F)_max,Temperature (°F)_avg,Temperature (°F)_min,Dew Point (°F)_max,Dew Point (°F)_avg,Dew Point (°F)_min,Humidity (%)_max,Humidity (%)_avg,Humidity (%)_min,Wind Speed (mph)_max,Wind Speed (mph)_avg,Wind Speed (mph)_min,Pressure (in)_max,Pressure (in)_avg,Pressure (in)_min
Sep,1,97,90.7,82,75,73.3,72,74,58.2,47,15,6.4,0,29.0,28.9,28.9
Sep,2,99,91.0,82,75,72.8,70,70,56.4,44,14,5.8,0,28.9,28.9,28.8
Sep,3,99,90.3,81,75,72.5,72,79,56.9,42,12,6.3,0,28.9,28.9,28.8
Sep,4,99,89.9,82,79,73.3,68,79,60.0,37,14,4.8,0,28.9,28.9,28.8
Sep,5,97,87.5,77,79,71.6,66,84,60.4,41,21,7.4,0,29.0,28.9,28.9
Sep,6,97,88.4,81,81,71.5,68,70,57.8,44,12,5.9,0,29.0,28.9,28.9
Sep,7,100,91.0,81,77,74.0,73,79,59.2,42,14,3.1,0,29.0,28.9,28.8
Sep,8,93,89.7,88,77,77.0,77,70,66.5,59,9,7.5,6,28.9,28.9,28.8
Sep,9,99,88.0,81,77,75.3,70,84,67.1,42,21,8.3,0,28.9,28.9,28.8
Sep,10,93,86.2,79,79,76.7,75,94,73.9,59,15,8.4,3,28.9,28.8,28.8
Sep,11,95,86.2,79,77,75.1,73,84,70.9,53,13,7.2,0,28.9,28.9,28.8
Sep,12,95,88.0,81,77,76.3,75,84,68.8,56,12,5.9,0,28.9,28.9,28.8
Sep,13,97,89.4,82,79,77.1,75,84,67.7,53,10,5.2,0,28.9,28.9,28.8
Sep,14,95,86.3,82,81,77.9,75,84,76.0,59,21,5.8,3,28.9,28.3,0.0
Sep,15,93,85.3,79,79,76.2,73,94,75.2,59,16,6.8,3,29.0,28.9,28.8
Sep,16,93,85.0,79,79,75.6,73,89,74.3,59,13,6.1,0,29.0,28.9,28.9
Sep,17,90,81.7,77,79,75.0,72,94,80.9,66,35,8.5,0,29.0,28.9,28.9
Sep,18,84,78.8,77,73,71.9,70,89,78.9,66,23,12.0,5,29.0,28.9,28.9
Sep,19,77,75.1,72,75,73.1,70,100,93.6,83,21,10.0,5,29.1,29.0,28.9
Sep,20,91,83.5,73,77,74.5,72,94,75.1,59,9,3.6,0,29.1,29.0,28.9
Sep,21,93,86.5,79,79,76.0,75,89,71.7,56,9,2.8,0,29.0,28.9,28.9
Sep,22,93,83.1,79,79,75.4,73,89,78.2,59,25,5.5,0,29.0,28.9,28.9
Sep,23,84,77.2,72,84,72.1,70,100,81.9,0,35,8.9,0,29.1,28.4,0.0
Sep,24,86,78.8,73,73,71.7,68,94,78.9,66,14,5.4,0,29.0,29.0,28.9
Sep,25,86,79.9,73,73,71.1,66,89,75.5,58,14,5.2,0,29.0,29.0,28.9
Sep,26,91,82.2,75,73,70.3,68,89,68.9,46,12,3.4,0,29.1,29.0,29.0
Sep,27,93,83.4,73,72,68.4,66,83,62.0,41,12,3.5,0,29.1,29.0,28.9
Sep,28,95,86.0,75,75,72.1,70,89,64.0,47,6,2.3,0,29.0,29.0,28.9
Sep,29,95,84.0,75,73,71.1,68,83,66.2,41,14,4.1,0,29.1,29.0,28.9
Sep,30,93,82.3,73,70,66.0,64,78,59.9,38,12,6.3,0,29.1,29.0,28.9
